rndNum,courseNum,rndPos,rndScr,relParScr,cumParScr,playerName,year,name,name2,cost
Round 3,625,T13,68,-2,-7,21949,2005,JOE OGILVI,Joe Ogilvie,#N/A
Round 4,625,T15,68,-2,-9,21949,2005,JOE OGILVI,Joe Ogilvie,#N/A
Round 1,625,T132,74,4,4,12510,2005,CHAD CAMPBE,Chad Campbell,4100
Round 2,625,T54,65,-5,-1,12510,2005,CHAD CAMPBE,Chad Campbell,4100
Round 3,625,T15,65,-5,-6,12510,2005,CHAD CAMPBE,Chad Campbell,4100
Round 4,625,T19,68,-2,-8,12510,2005,CHAD CAMPBE,Chad Campbell,4100
Round 1,625,T20,66,-4,-4,20472,2005,ALEX CEJKA,Alex Cejka,5600
Round 2,625,T9,67,-3,-7,20472,2005,ALEX CEJKA,Alex Cejka,5600
Round 3,625,T9,68,-2,-9,20472,2005,ALEX CEJKA,Alex Cejka,5600
Round 4,625,T19,71,1,-8,20472,2005,ALEX CEJKA,Alex Cejka,5600
Round 1,625,T79,70,E,E,19846,2005,BRIAN GAY,Brian Gay,#N/A
Round 2,625,T23,66,-4,-4,19846,2005,BRIAN GAY,Brian Gay,#N/A
Round 3,625,T25,69,-1,-5,19846,2005,BRIAN GAY,Brian Gay,#N/A
Round 4,625,T19,67,-3,-8,19846,2005,BRIAN GAY,Brian Gay,#N/A
Round 1,625,T79,70,E,E,24980,2005,SCOTT GUTSCH,Scott Gutschewski,#N/A
Round 2,625,T39,68,-2,-2,24980,2005,SCOTT GUTSCH,Scott Gutschewski,#N/A
Round 3,625,T15,66,-4,-6,24980,2005,SCOTT GUTSCH,Scott Gutschewski,#N/A
Round 4,625,T19,68,-2,-8,24980,2005,SCOTT GUTSCH,Scott Gutschewski,#N/A
Round 1,625,T53,69,-1,-1,2223,2005,BOB TWAY,Bob Tway,#N/A
Round 2,625,T31,68,-2,-3,2223,2005,BOB TWAY,Bob Tway,#N/A
Round 3,625,T30,69,-1,-4,2223,2005,BOB TWAY,Bob Tway,#N/A
Round 4,625,T19,66,-4,-8,2223,2005,BOB TWAY,Bob Tway,#N/A
Round 1,625,T5,64,-6,-6,26758,2005,DAVID HEARN,David Hearn,5600
Round 2,625,T9,69,-1,-7,26758,2005,DAVID HEARN,David Hearn,5600
Round 3,625,T25,72,2,-5,26758,2005,DAVID HEARN,David Hearn,5600
Round 4,625,T24,68,-2,-7,26758,2005,DAVID HEARN,David Hearn,5600
Round 1,625,T95,71,1,1,28486,2005,MICHAE PUTNAM,Michael Putnam,5000
Round 2,625,T39,67,-3,-2,28486,2005,MICHAE PUTNAM,Michael Putnam,5000
Round 3,625,T30,68,-2,-4,28486,2005,MICHAE PUTNAM,Michael Putnam,5000
Round 4,625,T24,67,-3,-7,28486,2005,MICHAE PUTNAM,Michael Putnam,5000
Round 1,625,T108,72,2,2,1035,2005,TOMMY ARMOUR,Tommy Armour III,#N/A
Round 2,625,T31,65,-5,-3,1035,2005,TOMMY ARMOUR,Tommy Armour III,#N/A
Round 3,625,T43,71,1,-2,1035,2005,TOMMY ARMOUR,Tommy Armour III,#N/A
Round 4,625,T26,66,-4,-6,1035,2005,TOMMY ARMOUR,Tommy Armour III,#N/A
Round 1,625,T9,65,-5,-5,22371,2005,AARON BADDEL,Aaron Baddeley,5000
Round 2,625,T31,72,2,-3,22371,2005,AARON BADDEL,Aaron Baddeley,5000
Round 3,625,T39,70,E,-3,22371,2005,AARON BADDEL,Aaron Baddeley,5000
Round 4,625,T26,67,-3,-6,22371,2005,AARON BADDEL,Aaron Baddeley,5000
Round 1,625,T20,66,-4,-4,24507,2005,JASON BOHN,Jason Bohn,4000
Round 2,625,T39,72,2,-2,24507,2005,JASON BOHN,Jason Bohn,4000
Round 3,625,T30,68,-2,-4,24507,2005,JASON BOHN,Jason Bohn,4000
Round 4,625,T26,68,-2,-6,24507,2005,JASON BOHN,Jason Bohn,4000
Round 1,625,T79,70,E,E,1685,2005,J.L. LEWIS,J.L. Lewis,#N/A
Round 2,625,T54,69,-1,-1,1685,2005,J.L. LEWIS,J.L. Lewis,#N/A
Round 3,625,T25,66,-4,-5,1685,2005,J.L. LEWIS,J.L. Lewis,#N/A
Round 4,625,T26,69,-1,-6,1685,2005,J.L. LEWIS,J.L. Lewis,#N/A
Round 1,625,T41,68,-2,-2,12680,2005,SHIGEK MARUYA,Shigeki Maruyama,#N/A
